t,n_bits,p,prep_init,cost_total,prep_in_mixers,reflection_anc,reflection_noanc,total_depth_anc,total_depth_noanc,n_ancillas_anc
206,1648,6,495,6,5940,150,19782,6591,26223,1647
207,1656,6,495,6,5940,150,19878,6591,26319,1655
208,1664,6,495,6,5940,150,19974,6591,26415,1663
209,1672,6,495,6,5940,150,20070,6591,26511,1671
210,1680,6,495,6,5940,150,20166,6591,26607,1679
211,1688,6,495,6,5940,150,20262,6591,26703,1687
212,1696,6,495,6,5940,150,20358,6591,26799,1695
213,1704,6,495,6,5940,150,20454,6591,26895,1703
214,1712,6,495,6,5940,150,20550,6591,26991,1711
215,1720,6,495,6,5940,150,20646,6591,27087,1719
216,1728,6,495,6,5940,150,20742,6591,27183,1727
217,1736,6,495,6,5940,150,20838,6591,27279,1735
218,1744,6,495,6,5940,150,20934,6591,27375,1743
219,1752,6,495,6,5940,150,21030,6591,27471,1751
220,1760,6,495,6,5940,150,21126,6591,27567,1759
221,1768,6,495,6,5940,150,21222,6591,27663,1767
222,1776,6,495,6,5940,150,21318,6591,27759,1775
223,1784,6,495,6,5940,150,21414,6591,27855,1783
224,1792,6,495,6,5940,150,21510,6591,27951,1791
225,1800,6,495,6,5940,150,21606,6591,28047,1799
226,1808,6,495,6,5940,150,21702,6591,28143,1807
227,1816,6,495,6,5940,150,21798,6591,28239,1815
228,1824,6,495,6,5940,150,21894,6591,28335,1823
229,1832,6,495,6,5940,150,21990,6591,28431,1831
230,1840,6,495,6,5940,150,22086,6591,28527,1839
231,1848,6,495,6,5940,150,22182,6591,28623,1847
232,1856,6,495,6,5940,150,22278,6591,28719,1855
233,1864,6,495,6,5940,150,22374,6591,28815,1863
234,1872,6,495,6,5940,150,22470,6591,28911,1871
235,1880,6,495,6,5940,150,22566,6591,29007,1879
236,1888,6,495,6,5940,150,22662,6591,29103,1887
237,1896,6,495,6,5940,150,22758,6591,29199,1895
238,1904,6,495,6,5940,150,22854,6591,29295,1903
239,1912,6,495,6,5940,150,22950,6591,29391,1911
240,1920,6,495,6,5940,150,23046,6591,29487,1919
241,1928,6,495,6,5940,150,23142,6591,29583,1927
242,1936,6,495,6,5940,150,23238,6591,29679,1935
243,1944,6,495,6,5940,150,23334,6591,29775,1943
244,1952,6,495,6,5940,150,23430,6591,29871,1951
245,1960,6,495,6,5940,150,23526,6591,29967,1959
246,1968,6,495,6,5940,150,23622,6591,30063,1967
247,1976,6,495,6,5940,150,23718,6591,30159,1975
248,1984,6,495,6,5940,150,23814,6591,30255,1983
249,1992,6,495,6,5940,150,23910,6591,30351,1991
250,2000,6,495,6,5940,150,24006,6591,30447,1999
251,2008,6,495,6,5940,150,24102,6591,30543,2007
252,2016,6,495,6,5940,150,24198,6591,30639,2015
253,2024,6,495,6,5940,150,24294,6591,30735,2023
254,2032,6,495,6,5940,150,24390,6591,30831,2031
255,2040,6,495,6,5940,150,24486,6591,30927,2039
256,2048,6,495,6,5940,150,24582,6591,31023,2047
257,2056,6,495,6,5940,162,24678,6603,31119,2055
258,2064,6,495,6,5940,162,24774,6603,31215,2063
259,2072,6,495,6,5940,162,24870,6603,31311,2071
260,2080,6,495,6,5940,162,24966,6603,31407,2079
261,2088,6,495,6,5940,162,25062,6603,31503,2087
262,2096,6,495,6,5940,162,25158,6603,31599,2095
263,2104,6,495,6,5940,162,25254,6603,31695,2103
264,2112,6,495,6,5940,162,25350,6603,31791,2111
265,2120,6,495,6,5940,162,25446,6603,31887,2119
266,2128,6,495,6,5940,162,25542,6603,31983,2127
267,2136,6,495,6,5940,162,25638,6603,32079,2135
268,2144,6,495,6,5940,162,25734,6603,32175,2143
269,2152,6,495,6,5940,162,25830,6603,32271,2151
270,2160,6,495,6,5940,162,25926,6603,32367,2159
271,2168,6,495,6,5940,162,26022,6603,32463,2167
272,2176,6,495,6,5940,162,26118,6603,32559,2175
273,2184,6,495,6,5940,162,26214,6603,32655,2183
274,2192,6,495,6,5940,162,26310,6603,32751,2191
275,2200,6,495,6,5940,162,26406,6603,32847,2199
276,2208,6,495,6,5940,162,26502,6603,32943,2207
277,2216,6,495,6,5940,162,26598,6603,33039,2215
278,2224,6,495,6,5940,162,26694,6603,33135,2223
279,2232,6,495,6,5940,162,26790,6603,33231,2231
280,2240,6,495,6,5940,162,26886,6603,33327,2239
281,2248,6,495,6,5940,162,26982,6603,33423,2247
282,2256,6,495,6,5940,162,27078,6603,33519,2255
283,2264,6,495,6,5940,162,27174,6603,33615,2263
284,2272,6,495,6,5940,162,27270,6603,33711,2271
285,2280,6,495,6,5940,162,27366,6603,33807,2279
286,2288,6,495,6,5940,162,27462,6603,33903,2287
287,2296,6,495,6,5940,162,27558,6603,33999,2295
288,2304,6,495,6,5940,162,27654,6603,34095,2303
289,2312,6,495,6,5940,162,27750,6603,34191,2311
290,2320,6,495,6,5940,162,27846,6603,34287,2319
291,2328,6,495,6,5940,162,27942,6603,34383,2327
292,2336,6,495,6,5940,162,28038,6603,34479,2335
293,2344,6,495,6,5940,162,28134,6603,34575,2343
294,2352,6,495,6,5940,162,28230,6603,34671,2351
295,2360,6,495,6,5940,162,28326,6603,34767,2359
296,2368,6,495,6,5940,162,28422,6603,34863,2367
